mean_speed,std_speed,max_speed,std_acceleration,motion_irregularity,label
0.3727572545139954,0.36419303199166,3.0939084462930904,0.49063302938874526,0.49166702457386724,0
0.6267717117210319,0.7664928651309157,6.356992993761643,1.0139065002301937,1.0163408502626539,0
0.6801806924216482,0.5352696007603298,3.840438291189225,0.6962127988873563,0.6988057681879911,0
0.17559270474919347,0.1215357997644596,0.7854427414295644,0.144374807941341,0.14465756458254245,0
0.28712912480847164,0.16116870481813445,0.868257444888162,0.21191609126372307,0.21231856532996712,0
0.2012050087595796,0.28439382219551196,3.416181539281765,0.37977124725933525,0.380458613733239,0
0.7008746958052947,0.38900088642929853,1.7673713663350703,0.5113634242250343,0.5144670325981684,0
0.4945645533966861,0.5358411064896366,4.064372670660289,0.5785155423213412,0.5796577261189388,1
0.3130591802278661,0.35955310915038474,2.276630560231786,0.3484918268295494,0.3492938572616709,1
0.7781654802445745,1.0233074430627636,5.516024015765136,1.313523669477914,1.3332685929856323,1
